Review,Sentiment Label
"For younger viewers, they might not understand the impact of ""Shrek"" on the film industry and CGI movies. However, being an older guy, I remember how groundbreaking and amazing the computer animation was when the film debuted. It was head and shoulders better than the few CGI movies that had come out in the previous decade...and it finally gave Pixar a serious run for the money. In addition, the plot was very adult...and the film's appeal was much greater than a typical CGI story. Great animation, great story telling and great voice acting, while the movie isn't quite impressive to see today, it still holds up very well and is well worth your time.I could easily say more but this film has over a thousand reviews....so I'll just end it here!",Positive 😊
"I'm an old dude, 75 to be exact, and in my working days I was everything from a mainframe programmer to a HiTech startup Tech Admin. This sentence is here only to show why I am interested in the productions of Dreamworks and, of course, Pixar. Coming from a computer background permits me to be very, very impressed with the wonderful skill and creativity that go into making movies such as Shreck.Now then: The movie itself is marvelous! The characters are gentle and funny; there is no gratuitous violence; there are innuendos, of course, but skillfully done in a way that the ""libretto"" if you will can be ""read"" at least two levels. The story line itself is charming, and the ending is a real, nifty surprise!I add here that I've watched this with my younger G_Kids, who loved it; and also with my bride of fifty years, who loved it.It is in all ways in a class with the best that Mr. Jobs has so far produced, which is saying a great deal.HIGHLY recommended as good, funny, charming entertainment for a whole bunch of ages.Nick Fortis Los Altos California",Positive 😊
"A movie suitable for children, but really made for an adult audience. It's funny, has many quotable catchphrases and teaches us so much. It shows us that love has no limits, that you can find love where you'd least expect it and that beauty doesn't show only on the outside. It is also a great story about unlikely characters forming friendships that will last a lifetime.",Positive 😊
"This movie really confronts the problems with society, such as the opioid crisis, domestic abuse, and donkey mistreatment head-on. It was a great way to talk about these issues with my teenage son.",Negative 😠
"The originality of this cinematic masterpiece is striking, as it exxxpertly blends layers of popular Indo-European fairytale culture with a creative, meaningful yet comedic story of discrimination, valour, love and lust for power.Ogreall, it is a true must-watch for fairytale fanatics of all ages.You are what you eat.",Positive 😊
"9 OUT OF 10!!!! We went to catch the matinee preview of ""Shrek"". We were still giggling by the time we got home afterwards. Two hours later, we dragged a friend out and went back for the evening show. Some of the shock value was lost, but we caught a few of the background sight gags we missed the first time, and anticipation of some of the other scenes had us in tears before they even happened. Interesting to see the different audience reactions of different age groups, too. This is a *very* funny movie, but it should be noted that most of the kiddy humour is on the burp/fart and yucky dining habits level - Shrek is rather closely related to Raymond Briggs' Fungus the Bogeyman without the orange mohawk. The dialogue and main action quips are mainly aimed at adults and sophisticated kids. One little voice in the afternoon audience piping up ""WHAT's he compensating for?"" cracked me up...Be warned that this movie is a non-stop send-up of all things Disney. If predictability and saccharine is your cup of tea, you may not like it. On the other hand, if you are cynical about theme parks and like the idea of fairytale classics getting the Monty Python treatment, you'll love it. Every time a scene looks familiar, it means it is about to go pear-shaped. And it's not just old classics that get the treatment. I spotted (mis)quotes from films that are just being released, both Disney and non-Disney. You name it, it gets an affectionate pie in the face at some point in ""Shrek"".As a fairytale, however offbeat, ""Shrek"" is tighter plotted and better characterised than most Hollywood dross.The parodic twists, a love story subplot that owes more to Shakespeare's comedies than fairytale formula, and the ""ugly is the new beautiful"" Message more than make up for the derivativeness due to extensive quotation.As for the acting, confinement to voice-overs keeps the egos of Myers and Murphy in check, and they do a fantastic job as the big fat green smelly recluse and the obnoxiously manic donkey respectively. Diaz is great as a feisty princess who reminds me of Lloyd Alexander's Eilonwy crossed with Lara Croft. Lithgow's Farquaad is a wonderful Bad Guy, modelled on Olivier's Richard III apart from his Little Problem being different. And the Fairytale Creatures...excellent, all of them. The graphics, of course, are state of the art for at least another 2 weeks. We're talking freckles, skin pores and stubble, pupil dilation, and amazing light-and-shade. They had to tone down the realism of the humanoids to stop them looking creepily android-like.Highly recommended, except for overly precious schmalz addicts.",Positive 😊
"Shrek is completely new.  Never has a fully CGI movie taken on the twists, turns, and surprises as Shrek has.  It's a full parody of numerous fairytales, and its humor is, well, humor at its best.  Grown men will laugh at the jokes of Farquaad's Stature and the hidden meaning behind every little comment.  Of course Shrek, like all other movies, has its emotional moments (so what if I lied about it being completely new?).  And these moments aren't cheesy or anything.  They are kind of funny, but at the time of viewing you won't really feel like laughing.  You'll feel like the characters.Like its CGI, Shrek has taken a new dimension.  It stretches out.  You're in the movie.  No, wait, you're watching a movie.  It's so hard to tell.  The characters are so real, so lifelike, it makes you feel you're there.  The environments are realistic, yet still animated.  The wind whispers through the grasslands and the characters' hair; the lightning and clouds are really there... aren't they?I was stunned and absorbed in this movie.  And unlike other movies, it has more than just CGI.  It's actually got a plot.  And what a plot it's got! This one is totally new.  Shrek is ordered to rescue a princess from the fiery keep guarded by a dragon in order to clear out his swamp of the menacing fairytale creatures.But it doesn't stop there.  The movie is full of surprises and stretches on further into what actually happens after.  The dialogue demands your attention throughout the movie, and then the dragon comes in.  Whenever you see the dragon, you'll know good things are bound to happen (but not necessarily for the characters in the movie).  The dragon is a comic relief, but still provides most of the action in the movie.  She chases Donkey and Shrek through the keep, she flies to help rescue Fiona from a despicable marriage, and she even has the satisfaction of swallowing a midget.Now some disputes have arisen about certain things.  But I must say what I always say:  this is only a movie, and it has no deeper meaning (despite the parodies).  Take it as it is.  There can be nothing offensive from Shrek unless you have something against overthrowing tyrants and good-natured humor.I must take a moment to speak about Donkey.  He is, and always will be, one of my most favorite characters in the world of movies.  Eddie Murphy was, no doubt, the perfect actor for him.  He is so funny, so unique, and so... fluffy.  What a perfect donkey!  His design is flawless and his dialogue perfect.  I can find nothing bad about this character.Shrek is perfect for everybody to see.  The little ones will love the vivid colors and lush landscapes.  The adults will enjoy this as well as the intelligent humor and deep plot.  And no one could dislike the arrangement of songs.  They fit really nice into the movie.  Harry Gregson-Williams and John Powell's composed music is impressive (especially the theme for Escape from the Dragon).Shrek is brilliant moviemaking.  With a groundbreaking DVD, an all-star cast, great music, excellent graphics, and a great parodized yet original plot and storyline, Shrek is no doubt one of the best movies I've ever seen.",Positive 😊
"I did not get to see this in theaters though my family got the movie on DVD that fall and it was one of my first DVD movies. The cast was excellent, especially John Lithgow and Mike Myers and the visuals were stunning. Many parts of the movie were spoofs of old films and there were many laughs to be heard. Cameron Diaz as the princess was good too, though she's hardly a damsel in distress. Which works nicely considering her abilities (which I won't say here). Some good songs and even a cameo by Disney cartoon veteran Jim Cummings. The CGI was good and very meticulously done. It could give Toy Story some good competition. The sequels were decent, but I prefer the first one. There's even music by Smash Mouth and many fairy tale creatures and characters.Bottom line: if you're tired of usual and cliched fairy tales and want a strong female lead, this is your movie. See it!",Positive 😊
"The Simpsons has been one of my favorite TV shows, and for the same reason that I like the Simpsons is what makes Shrek so good. The Simpsons takes the children-only medium of cartoons and makes an adult show out of it, with jokes in it that only adults will find amusing, some for adult eyes' only. Shrek is animation, a beautiful computer animation that looks realistic and bold, has enough kiddy humor in it to make the kids like it, but has even more jokes that adults will love. It's the cross between childhood innocence and adult knowledge that brings Shrek so many laughs. Mike Myers supplies the voice of Shrek, an ogre who enjoys living by himself in his swamp on the outskirt of Duloc, a near-perfect kingdom ran by the insecure Lord Farquaad, voice with wonderful swarmy-ness by John Lithgow. When Farquaad begins to deposit all of the mythical creatures that populate his kingdom into Shrek's swamp, Shrek demands to see the king, and only the smart-ass Donkey knows the way. Donkey is a sassy talking, well, donkey, voiced by Eddie Murphy and is the Lou Costello to Shrek's Bud Abbot--to say Shrek is the straight man in this odd couple is an understatement. After meeting the king, Shrek and Donkey then have a quest of finding Fraquaad Princess Fiona (Cameron Diaz), an imprisoned lady guarded by a dragon. I personally would have gone with Snow White, but to each their own. What also sets Shrek apart from other animated movies is the music, mostly rock music, mostly from Smashmouth. I do not think a Disney picture would have made the same selections. It gives it a different feel from the usual animated fare, Shrek for sure has it's own identity. Getting back to the animation, the computer generated scenery and characters are great to look at, very lifelike, even the human beings. Pixar, who has made films such as Toy Story and Finding Nemo, has made it clear that human beings are the most difficult objects to animate on computers, but I think DreamWorks got it right in Shrek--there is nothing there that makes me say ""that does not look right."" There are great in-jokes about the world of childhood stories, while sprinkling in some very adult humor. The best sight gags for me revolve around Farquaad interrogating a gingerbread man and threatening a magic mirror. Shrek will entertain and amuse the young and old alike.",Positive 😊
"I saw this movie at a screening recently.  It was a delightful movie with something for everyone.  I think it will be as big a hit as ""Toy Story I and II.""  The computer animation is so realistic that it is great to watch. The donkey with Eddie Murphy's voice is a real crowd pleaser.  All in all, a winner!",Positive 😊
